No,Kode Saham,Nama Perusahaan,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
528,MDKA,Merdeka Copper Gold Tbk.,2310,2330,2250,2260,-40,18239400,41560550000,5872,603.0,2270,7100,2260,565400,24110850771,24110850771,11351388543,13192600,8957500,200,455080,3
529,MDKI,Emdeki Utama Tbk.,0,199,198,198,-1,173500,34400400,65,46.3,199,84000,198,23500,2530150002,2530150002,412414450,0,4200,0,0,0
530,MDLN,Modernland Realty Tbk.,0,68,66,66,-2,1144800,76375000,92,19.6,68,607500,66,820100,12533067322,12533067322,5629853841,0,0,0,0,0
531,MDRN,Modern Internasional Tbk.,0,6,6,6,0,38100,228600,13,1.0,6,88800,5,1279300,7632167798,7138697999,1830957055,0,0,0,0,0
532,MEDC,Medco Energi Internasional Tbk.,1175,1200,1150,1160,-10,63317600,74350673500,6833,2408.9,1165,96700,1160,53700,25136231252,25136231252,6279030567,19251900,13546500,0,0,0
533,MEDS,Hetzer Medical Indonesia Tbk.,0,50,50,50,0,2808200,140410000,68,40.0,50,2534700,0,0,1562500000,1562500000,562500000,0,0,0,0,0
534,MEGA,Bank Mega Tbk.,0,5250,5250,5250,-25,500,2625000,4,6442.1,5275,1300,5250,500,11623514905,11623514905,4879551557,0,0,0,0,0
535,MENN,Menn Teknologi Indonesia Tbk.,0,57,49,54,0,60335200,3060006500,8990,69.2,54,569000,53,410200,1434021654,430221654,0,0,0,13,767,1
536,MERK,Merck Tbk.,0,4470,4380,4410,10,12800,56345000,13,11627.6,4460,2000,4380,34100,448000000,448000000,55507200,10600,900,0,0,0
537,META,Nusantara Infrastructure Tbk.,0,0,0,238,0,0,0,0,72.1,0,0,0,0,17710708194,17710708194,2330729198,0,0,0,0,0
538,MFIN,Mandala Multifinance Tbk.,0,2830,2810,2830,0,92200,260812000,31,2902.6,2830,61500,2820,100,2650000000,2650000000,516750000,14300,2000,0,0,0
539,MFMI,Multifiling Mitra Indonesia Tbk.,0,0,0,695,0,0,0,0,347.5,700,100,680,1300,757581000,757581000,4924277,0,0,0,0,0
540,MGLV,Panca Anugrah Wisesa Tbk.,0,84,78,78,-3,40000,3185400,35,57.8,81,1000,78,62800,1904883411,1904883411,0,0,0,0,0,0
541,MGNA,Magna Investama Mandiri Tbk.,0,0,0,50,0,0,0,0,47.6,50,5949100,0,0,3410475412,3410475412,836248571,0,0,0,0,0
542,MGRO,Mahkota Group Tbk.,0,615,595,615,10,4880200,2929200500,266,273.3,615,42500,600,21700,3554445700,3554445700,692406022,74600,203800,0,0,0
543,MICE,Multi Indocitra Tbk.,0,505,505,505,-20,32800,16564000,5,103.1,515,200,510,100,600000000,600000000,210360000,0,0,0,0,0
544,MIDI,Midi Utama Indonesia Tbk.,0,486,476,478,2,14735200,7101562000,1364,1826.6,480,3400,478,2715700,33435294800,33435294800,5373051874,4819200,614000,0,0,0
545,MIKA,Mitra Keluarga Karyasehat Tbk.,0,2750,2700,2730,10,6278400,17112709000,570,160.7,2730,23800,2700,1500,14246349500,14246349500,4870826894,457300,690100,0,0,0
546,MINA,Sanurhasta Mitra Tbk.,0,51,50,50,0,369100,18460300,36,238.1,50,3600,0,0,6562500000,6562500000,2609250000,0,0,0,0,0
